voiceAccuracy,letterScore,wordScore,risk
29,3,2,High
50,3,5,Moderate
79,1,5,Moderate
100,3,4,Moderate
79,5,6,Low
66,4,7,Low
21,3,7,Moderate
82,6,2,Moderate
31,4,2,High
82,5,4,Moderate
37,4,7,Moderate
48,5,2,Moderate
73,7,4,Low
62,7,0,Moderate
59,2,5,Moderate
26,0,6,High
87,7,7,Low
52,0,2,High
62,4,7,Moderate
21,3,5,Moderate
75,0,2,High
43,3,3,Moderate
27,1,4,High
75,1,1,High
88,3,6,Moderate
74,2,0,High
34,4,1,High
47,7,4,Moderate
38,3,5,Moderate
76,2,0,High
50,0,1,High
80,0,0,High
74,3,4,Moderate
83,7,3,Low
76,4,6,Moderate
98,0,4,Moderate
54,6,6,Low
55,5,2,Moderate
49,7,1,Moderate
49,6,2,Moderate
74,4,6,Moderate
86,7,7,Low
69,6,2,Moderate
33,2,4,High
85,4,3,Moderate
83,2,1,Moderate
87,1,0,High
81,3,3,Moderate
73,6,7,Low
86,2,7,Moderate
20,1,1,High
56,7,2,Moderate
87,1,1,High
88,7,0,Moderate
65,3,1,Moderate
61,3,7,Moderate
28,3,4,Moderate
94,6,6,Low
85,1,5,Moderate
38,4,1,High
21,5,7,Moderate
98,7,4,Low
59,3,2,Moderate
31,2,5,Moderate
80,7,6,Low
94,4,7,Low
56,2,0,High
54,2,1,High
49,7,5,Moderate
83,7,4,Low
43,0,1,High
98,4,0,Moderate
91,5,0,Moderate
28,7,6,Moderate
82,7,2,Moderate
96,5,5,Low
39,0,1,High
75,3,0,High
85,6,5,Low
78,3,2,Moderate
22,1,5,High
88,2,6,Moderate
82,0,1,High
99,3,7,Low
41,7,5,Moderate
25,6,6,Moderate
63,5,1,Moderate
46,4,5,Moderate
92,2,1,Moderate
50,6,2,Moderate
74,7,4,Low
29,6,2,Moderate
86,6,0,Moderate
84,1,5,Moderate
26,1,0,High
35,7,5,Moderate
68,0,4,Moderate
83,6,2,Moderate
39,5,3,Moderate
68,7,3,Moderate
81,5,4,Moderate
84,2,2,Moderate
42,4,3,Moderate
69,3,2,Moderate
44,4,6,Moderate
71,6,4,Moderate
26,5,5,Moderate
59,2,4,Moderate
32,7,5,Moderate
43,6,7,Low
31,1,7,Moderate
71,3,2,Moderate
78,7,2,Moderate
70,7,1,Moderate
61,4,3,Moderate
25,6,1,Moderate
28,1,7,Moderate
20,2,3,High
70,7,1,Moderate
25,6,6,Moderate
36,7,6,Low
79,1,6,Moderate
92,2,5,Moderate
79,7,6,Low
36,0,5,High
42,0,0,High
38,5,4,Moderate
81,2,3,Moderate
58,0,0,High
68,2,5,Moderate
41,6,6,Moderate
85,1,6,Moderate
23,4,3,Moderate
56,6,1,Moderate
24,4,0,High
75,5,0,Moderate
77,7,0,Moderate
25,5,0,High
100,0,1,High
21,4,6,Moderate
22,7,4,Moderate
65,3,4,Moderate
44,7,5,Moderate
34,0,5,High
69,3,3,Moderate
82,3,0,Moderate
80,1,7,Moderate
30,0,3,High
23,3,7,Moderate
67,0,3,High
41,3,1,High
77,1,6,Moderate
41,1,7,Moderate
70,2,2,Moderate
94,7,1,Moderate
79,5,0,Moderate
40,3,0,High
30,6,2,Moderate
35,2,4,High
43,5,7,Moderate
24,5,7,Moderate
75,5,4,Moderate
95,5,7,Low
21,1,1,High
80,4,0,Moderate
36,2,3,High
58,7,1,Moderate
63,6,0,Moderate
33,6,5,Moderate
66,6,1,Moderate
32,4,5,Moderate
65,2,4,Moderate
37,0,2,High
62,6,5,Moderate
63,6,2,Moderate
73,1,1,High
62,5,5,Moderate
50,0,3,High
61,3,0,High
55,2,4,Moderate
72,5,6,Low
27,4,3,Moderate
52,5,1,Moderate
97,0,1,High
81,7,7,Low
76,6,0,Moderate
49,5,5,Moderate
35,6,2,Moderate
94,1,0,High
51,0,3,High
52,5,5,Moderate
67,0,6,Moderate
74,2,7,Moderate
30,5,7,Moderate
31,6,7,Moderate
49,1,4,High
64,3,5,Moderate
41,2,3,High
100,4,3,Moderate
57,6,2,Moderate
69,3,6,Moderate
53,4,0,High
97,2,7,Low
50,1,0,High
68,0,3,High
80,4,7,Low
95,7,1,Moderate
23,5,4,Moderate
78,5,0,Moderate
66,6,7,Low
59,3,3,Moderate
25,3,2,High
41,4,2,Moderate
81,2,5,Moderate
54,7,0,Moderate
31,7,7,Low
91,3,2,Moderate
83,1,6,Moderate
65,3,2,Moderate
23,0,0,High
95,0,0,High
59,0,6,Moderate
20,5,5,Moderate
83,4,6,Low
69,4,1,Moderate
95,1,3,Moderate
82,3,5,Moderate
90,0,2,High
78,1,6,Moderate
31,0,1,High
37,4,6,Moderate
30,7,6,Moderate
86,2,7,Moderate
65,7,5,Low
98,1,5,Moderate
49,2,2,High
100,1,2,Moderate
58,7,1,Moderate
31,4,3,Moderate
24,0,7,Moderate
60,7,6,Low
44,2,1,High
41,5,0,High
56,1,7,Moderate
63,1,6,Moderate
33,1,4,High
23,2,4,High
60,5,0,Moderate
23,0,0,High
61,2,2,High
86,1,2,Moderate
45,5,2,Moderate
72,1,6,Moderate
100,6,4,Low
39,1,2,High
22,3,0,High
96,7,2,Low
22,0,3,High
78,3,5,Moderate
35,5,0,High
95,2,1,Moderate
73,7,5,Low
98,3,0,Moderate
31,0,6,High
54,3,5,Moderate
91,5,3,Moderate
88,2,0,High
45,4,4,Moderate
22,5,3,Moderate
90,6,1,Moderate
99,0,4,Moderate
31,7,0,Moderate
91,1,4,Moderate
36,2,0,High
78,5,5,Moderate
83,5,0,Moderate
23,2,7,Moderate
64,5,1,Moderate
39,2,0,High
51,4,0,High
40,1,5,Moderate
99,3,7,Low
66,6,3,Moderate
85,0,5,Moderate
98,4,3,Moderate
26,5,0,High
27,4,0,High
87,6,4,Low
59,2,4,Moderate
96,2,0,Moderate
61,2,0,High
77,3,7,Moderate
70,1,4,Moderate
61,4,1,Moderate
54,4,2,Moderate
26,4,0,High
83,3,4,Moderate
59,5,1,Moderate
71,6,5,Low
52,2,6,Moderate
86,1,7,Moderate
48,3,4,Moderate
32,3,1,High
90,4,7,Low
53,3,3,Moderate
63,0,6,Moderate
28,0,2,High
88,0,0,High
34,1,3,High
41,0,0,High
33,1,2,High
49,7,5,Moderate
23,3,7,Moderate
58,5,2,Moderate
69,7,6,Low
64,2,3,Moderate
90,7,6,Low
42,0,0,High
23,2,6,Moderate
48,1,2,High
61,7,5,Low
35,1,5,High
87,2,6,Moderate
32,7,4,Moderate
33,3,7,Moderate
75,3,5,Moderate
52,3,6,Moderate
98,6,3,Low
73,5,0,Moderate
55,4,4,Moderate
53,5,7,Low
86,7,1,Moderate
77,4,4,Moderate
32,7,5,Moderate
85,1,1,High
20,4,2,High
73,4,0,Moderate
96,1,0,High
27,4,1,High
81,7,2,Moderate
91,7,3,Low
84,5,2,Moderate
31,0,6,High
65,4,1,Moderate
57,4,6,Moderate
25,1,1,High
65,4,1,Moderate
41,2,7,Moderate
92,5,1,Moderate
34,0,4,High
28,1,5,High
26,6,0,High
80,4,1,Moderate
77,3,0,High
56,7,3,Moderate
96,1,5,Moderate
40,0,5,High
78,1,2,High
31,5,0,High
85,4,2,Moderate
58,7,2,Moderate
69,3,4,Moderate
69,3,7,Moderate
94,5,0,Moderate
82,7,7,Low
65,5,3,Moderate
23,7,6,Moderate
83,1,4,Moderate
61,0,7,Moderate
37,7,7,Low
64,4,2,Moderate
46,1,5,Moderate
72,5,4,Moderate
65,0,0,High
84,6,5,Low
24,0,5,High
46,6,7,Low
57,5,2,Moderate
83,4,2,Moderate
38,3,5,Moderate
65,0,2,High
80,3,0,Moderate
52,7,1,Moderate
64,2,6,Moderate
35,7,7,Low
72,6,2,Moderate
99,2,5,Moderate
39,7,5,Moderate
43,5,0,High
94,6,1,Moderate
63,6,0,Moderate
24,6,1,Moderate
67,0,5,Moderate
77,2,7,Moderate
99,3,7,Low
63,7,5,Low
96,7,7,Low
93,0,2,Moderate
20,5,6,Moderate
90,4,0,Moderate
25,5,4,Moderate
54,6,4,Moderate
54,7,1,Moderate
52,5,1,Moderate
71,5,4,Moderate
55,2,4,Moderate
35,1,3,High
71,4,1,Moderate
48,2,2,High
61,6,6,Low
33,5,3,Moderate
76,6,6,Low
90,1,1,High
21,2,0,High
36,0,1,High
76,7,6,Low
62,3,7,Moderate
